Original Orbis Name,Original Kununu Name,Similarity Score,Orbis Name (after preprocessing),Kununu Name (after preprocessing),Orbis ID,Kununu ID,NACE Code,Employees,City,Kununu Name Translated
solid it gmbh,solid system team gmbh,100.0,solid,solid,7594567,02f554cd-01ae-4d10-aaf5-3aae74c4a89b,J - Information and communication,31.0,HEILBRONN,solid system team gmbh
stadtwerke peine gesellschaft mit beschraenkter haftung,landkreis peine,100.0,peine,peine,2289073,03137f67-3072-4d8e-8890-4108ae1f0c98,"D - Electricity, gas, steam and air conditioning supply",130.0,PEINE,district of peine
max boegl stiftung & co kg,max boegl,100.0,bogl,bogl,2789251,03215b2b-ae3b-402a-956f-aa50d53093de,F - Construction,5728.0,SENGENTHAL,max boegl
arbeiterwohlfahrt regionalverband rheinerft & euskirchen ev,awo rheinerft und euskirchen ev,100.0,rheinerft euskirchen,rheinerft euskirchen,75094764,0343004e-2b18-43ca-ad6e-b8bc6d1ad55b,S - Other service activities,1600.0,BERGHEIM,awo rheinerft and euskirchen ev
akzent hotel residenz gmbh,akzent direct gmbh,100.0,akzent,akzent,13940246,0349095f-51b6-482e-9be1-f03f4d255185,I - Accommodation and food service activities,32.0,GRAAL-MUERITZ,akzent direct gmbh
werners metzgerei gmbh & co kg,werners backstube,100.0,werners,werners,222661189,03abce70-1b87-43ac-9cd4-d74f7f57d1c6,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,165.0,BAD HONNEF,werner&#39;s bakery
ht group gmbh,home ht gmbh,100.0,ht,ht,228125978,03d4191c-2a27-4dc8-b868-51074e3fe845,K - Financial and insurance activities,204.0,HEIDECK,home ht gmbh
maschinenbau friedrich karg gmbh,dr klaus karg kg,100.0,karg,karg,2798102,03e6e44f-5eb7-40a2-9a2a-3692aac7d0ce,C - Manufacturing,48.0,ELLINGEN,dr klaus karg kg
heidrick & struggles unternehmensberatung gmbh & co kg,heidrick & struggles,100.0,heidrick struggles,heidrick struggles,2537459,03fb9406-3044-40f4-8be7-3191161babc3,"M - Professional, scientific and technical activities",68.0,DUESSELDORF,heidrick &amp; struggles
rdl service gmbh,rdl & partner,100.0,rdl,rdl,156582486,03fc4196-4fa4-4ba8-aec7-6dcf8d267408,S - Other service activities,36.0,NIDEGGEN,rdl &amp; partners
kme kern medical engineering gmbh,kme gmbh,100.0,kme,kme,104952923,042d1662-5459-4d0e-84ec-fca54f5ed271,Q - Human health and social work activities,31.0,TUEBINGEN,kme-gmbh
kiwa gmbh,kiwa gruppe deutschland,100.0,kiwa,kiwa,60519525,04319e8c-6257-402e-986c-7216a35396f7,"M - Professional, scientific and technical activities",240.0,HAMBURG,kiwa group germany
bwf tec gmbh & co kg,bwf group,100.0,bwf,bwf,2827987,04479893-00d7-4e71-8327-6fb049aa9de0,C - Manufacturing,366.0,OFFINGEN,bwfgroup
acp it solutions ag,acp gruppe deutschland,100.0,acp,acp,60519693,045cbe36-3eea-4ae2-aefc-00a9b4769ac7,S - Other service activities,84.0,PADERBORN,acp group germany
diakonisches werk mecklenburgvorpommern ev,land mecklenburgvorpommern,100.0,mecklenburgvorpommern,mecklenburgvorpommern,161270068,04602516-fb31-4857-b145-b40c59d2bea3,S - Other service activities,50.0,SCHWERIN,state of Mecklenburg-Western Pomerania
platinum gmbh & co kg,platinum gmbh,100.0,platinum,platinum,83995629,04b03b78-0d53-4609-aac3-c6e2928ca7fe,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,62.0,BINGEN,platinum gmbh
syntax systems gmbh & co kg,syntax institut,100.0,syntax,syntax,49075429,04b0743d-6cb1-42ef-8e7d-405865c7262d,J - Information and communication,460.0,WEINHEIM,syntax institute
rettungsdienst friesland ggmbh,landkreis friesland,100.0,friesland,friesland,41155732,04ce0386-afd0-488a-97f2-65a26b6f36b8,Q - Human health and social work activities,80.0,SANDE,district of friesland
geberit produktions gmbh,geberit,100.0,geberit,geberit,2683814,04e38e93-23e6-4cf4-b864-3380f3b0c733,C - Manufacturing,835.0,PFULLENDORF,Geberit
eastman chemical germany management gmbh & co kg,eastman chemical gmbh,100.0,eastman chemical,eastman chemical,137510607,04f306d2-f66e-4cca-b381-ca4a5932b9b5,K - Financial and insurance activities,33.0,LANGENFELD,eastman chemical gmbh
orange office gmbh & co kg,orange consulting gmbh,100.0,orange,orange,299670561,04ff5392-0182-4864-aef9-065d2330dd62,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,47.0,FULDA,orange consulting gmbh
fse catering und service gmbh berlin,fse pflege,100.0,fse,fse,91813672,05108c1c-71ce-4373-a7ec-417b8728e3e6,I - Accommodation and food service activities,62.0,BERLIN,fse care
kapp niles gmbh & co kg,kapp niles unternehmensgruppe,100.0,kapp niles,kapp niles,376837530,051e1f8e-c7cd-404c-87aa-e801fa174c98,C - Manufacturing,450.0,COBURG,kapp niles group of companies
opta data finance gmbh,opta data gruppe,100.0,opta,opta,2543713,052ba9dd-e4c3-4a94-b54a-d197215a9117,J - Information and communication,1420.0,ESSEN,opta data group
jakob durst gmbh & cie,autohaus durst,100.0,durst,durst,2572398,052c02b3-a426-4caf-ba28-5a4a8af1edc9,F - Construction,33.0,MOENCHENGLADBACH,car dealership durst
mca engineering gmbh,mca engineering & it,100.0,mca,mca,156620143,054b64f7-76f7-48aa-bb76-b535a60aeaba,"M - Professional, scientific and technical activities",155.0,MUENCHEN,mca engineering &amp; it
winkelmann group gmbh & co kg,winkelmann group,100.0,winkelmann,winkelmann,2477353,05592060-6989-4cc7-bb6c-40e3c1b6fa1b,K - Financial and insurance activities,3924.0,AHLEN,winkelmanngroup
huawei technologies deutschland gmbh,huawei technologies germany,100.0,huawei,huawei,7586909,055dc974-7b6d-445b-8191-5c822c291c47,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,720.0,DUESSELDORF,huawei technologies germany
afm holding gmbh,afm media gmbh,100.0,afm,afm,7706515,055e65f1-3d4b-48e2-bea4-5e3d4dd190f5,K - Financial and insurance activities,48.0,WEIDEN,afm media gmbh
herm gmbh & cokg,herm & sommer gmbh,100.0,herm,herm,2667483,055e6c98-3bb8-4cf8-bd74-eeaad4d01afb,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,169.0,LAUDA-KOENIGSHOFEN,herm &amp; sommer gmbh
ig pflanzenzucht gesellschaft mit beschraenkter haftung,ig pflanzenzucht gesellschaft mit beschrnkter haftung,100.0,ig pflanzenzucht,ig pflanzenzucht,2777978,0560e16c-e43f-4bd5-bef0-7af8eb09848f,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,34.0,ISMANING,ig plant breeding limited liability company
h scheffel gmbh,thomas scheffel kommunikation gmbh,100.0,scheffel,scheffel,2572536,056276be-3aed-4796-8d9d-5eff9208c234,C - Manufacturing,45.0,ERKELENZ,thomas scheffel communication gmbh
elite friseur und kosmetik gmbh dresden,elite consulting communication services gmbh,100.0,elite,elite,2401073,0564c608-e4cf-41ba-b7b0-8bafea6871d2,S - Other service activities,31.0,DRESDEN,elite consulting communication services gmbh
be technologie gmbh,be partner group,100.0,be,be,129510915,056e17ba-ce20-468b-9463-b498a533696b,S - Other service activities,31.0,MARKTHEIDENFELD,be partner group
stanger produktions und vertriebsgmbh,stanger,100.0,stanger,stanger,31679059,05a3315e-6309-4f88-95b2-c3bcf289a4b0,C - Manufacturing,71.0,ESPELKAMP,rodgers
korian holding gmbh,korian deutschland,100.0,korian,korian,41233884,05b258d2-46c4-49da-a2c1-dca8a3661879,Q - Human health and social work activities,180.0,,corian germany
pfeifer holding gmbh & co kg,pfeifer marketing,100.0,pfeifer,pfeifer,2768993,05b82cef-9325-4ba4-ad55-cc191f5b9396,"M - Professional, scientific and technical activities",1575.0,MEMMINGEN,pfeifermarketing
aktiva food gmbh,aktiva personalleasing,100.0,aktiva,aktiva,178134735,05c4683c-6f4f-4049-aba5-72915a6fdee5,C - Manufacturing,662.0,SAARBRUECKEN,assets personnel leasing
einrichtungshaus ostermann gesellschaft mit beschraenkter haftung & co kommanditgesellschaft,einrichtungshaus ostermann,100.0,einrichtungshaus ostermann,einrichtungshaus ostermann,2512558,05cc63e6-4fe0-44c6-8348-a49b8941f467,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1101.0,WITTEN,furniture store ostermann
life cure gmbh,cure sa,100.0,cure,cure,68930848,05d0d881-fb0b-4c13-9f03-9abb072d1a16,Q - Human health and social work activities,63.0,HOMBURG,cure sa
goodman germany gmbh,goodman gmbh,100.0,goodman,goodman,52097029,05db7479-593b-437e-8af0-d3f91cb49486,L - Real estate activities,35.0,DUESSELDORF,goodman gmbh
montronic gmbh & co kg,montronic gmbh & co kg elektronik,100.0,montronic,montronic,6538880,05e6a7cb-d40d-40c2-a1f1-adb032806a72,C - Manufacturing,41.0,GLINDE,montronic gmbh &amp; co kg electronics
ssf dienstleistungen gmbh,sf group,100.0,sf,sf,409319846,05e80ceb-9399-46d8-93a9-dccdca7d1375,N - Administrative and support service activities,80.0,WALDKIRCH,sfgroup
bras ev,autohaus brass,100.0,bras,bras,192093355,05fe1b2c-7ebe-480d-8d0f-20f56b37b4b2,Q - Human health and social work activities,300.0,BREMEN,car dealership brass
faro gmbh,faro europe gmbh,100.0,faro,faro,16623579,068607b1-055b-4b41-9141-f83dfd009836,Q - Human health and social work activities,70.0,DUISBURG,faro europe gmbh
risse electronic gmbh,health rise gmbh,100.0,rise,rise,52101645,0694ea4e-6e7b-4e27-b147-de345de7d3d1,C - Manufacturing,33.0,NEUKIRCHEN,healthrise gmbh
time trans logistik gmbh & co kg,time partner gmbh,100.0,time,time,224841758,0697c182-fb72-45ae-808b-5b89e086e07a,H - Transportation and storage,90.0,ILSFELD,time partner gmbh
glory global solutions germany gmbh,glory,100.0,glory,glory,70336456,06b8104b-0933-4113-8e23-439538a75d04,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,291.0,NEU-ISENBURG,glory
kongresshotel rostock gmbh,kongresshotel potsdam,100.0,kongreshotel,kongreshotel,13940343,070b38f1-bdcc-4cbd-a816-77e460738ffd,I - Accommodation and food service activities,46.0,ROSTOCK,congress hotel potsdam
impuls ev,pflegedienst impuls berlin,100.0,impuls,impuls,192589085,071456da-7b43-4ce0-a881-ed6b743b12ff,S - Other service activities,35.0,COTTBUS,nursing service impulse berlin
lmv metalltechnik gmbh,lmv,100.0,lmv,lmv,470695807,0720902a-6728-4d6a-b4ac-3f1c10cf9591,C - Manufacturing,76.0,LAUINGEN,lmv
dietrich gesellschaft mit beschraenkter haftung,dr dietrich mller gmbh,100.0,dietrich,dietrich,2769242,072214df-c4c7-4bd5-84db-a64a104ad5f6,"M - Professional, scientific and technical activities",679.0,GERMARINGEN,dr dietrich mller gmbh
utimaco management gmbh,utimaco,100.0,utimaco,utimaco,305605744,073992be-0402-4234-bb8c-d039afabad1f,J - Information and communication,360.0,AACHEN,utimaco
dymax europe gmbh,dymax,100.0,dymax,dymax,113669134,073e5c67-c941-4feb-952c-b1d0bb6d3818,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,46.0,WIESBADEN,dymax
simplex armaturen & systeme gmbh,simplex armaturen,100.0,simplex,simplex,2804729,073f1787-6d4a-4ca0-ad21-ae7d41b8489d,C - Manufacturing,160.0,ARGENBUEHL,simplex fittings
diakonie jugend & familienhilfe simeon ggmbh,simeon medical,100.0,simeon,simeon,113960099,0741494a-0900-486b-b3a5-897106062583,Q - Human health and social work activities,265.0,BERLIN,simeon medical
proalpha gmbh,proalpha gruppe,100.0,proalpha,proalpha,161282712,077dcc3e-35a8-4f2f-9171-dfff3a0241d5,J - Information and communication,812.0,WEILERBACH,proalpha group
rem service gmbh & co kg,rem plus gmbh,100.0,rem,rem,375284836,0785cda2-9ba5-4897-be5f-c126a2fd602c,S - Other service activities,123.0,LORCH,rem plus gmbh
hvb ingenieurgesellschaft mbh,hvb,100.0,hvb,hvb,2276253,078f6899-8f98-4fce-8dab-6df8c6099f05,"M - Professional, scientific and technical activities",32.0,WANDLITZ,hvb
betz beteiligungsgesellschaft mbh & co kg,betz holding gmbh,100.0,betz,betz,2340031,07925a00-7ad9-4c02-b86b-ba982002bd32,"M - Professional, scientific and technical activities",173.0,BUCHHOLZ,betz holding gmbh
charisma berlin gmbh,charisma logistik gmbh,100.0,charisma,charisma,123615371,079677c4-3c40-48dc-9552-f848d06c364f,N - Administrative and support service activities,102.0,BERLIN,charisma logistics gmbh
anicura bielefeld gmbh,anicura germany holding gmbh,100.0,anicura,anicura,257213716,079e6257-334a-4805-8c03-800396d3586a,"M - Professional, scientific and technical activities",79.0,BIELEFELD,anicura germany holding gmbh
hanseatic bank gmbh & co kg,hanseatic bank,100.0,hanseatic,hanseatic,754497,07bcb7f2-b0d7-4cd4-8fec-52f06bf79415,K - Financial and insurance activities,342.0,HAMBURG,hanseaticbank
schema hydraulik gmbh,schema m gmbh,100.0,schema,schema,2820350,07d1c806-0c13-4aae-98f4-7ccecb6a6406,C - Manufacturing,71.0,BRUCKMUEHL,schema m gmbh
ruf jugendreisen gmbh & co kg,ruf jugendreisen,100.0,ruf jugendreisen,ruf jugendreisen,2452677,07d65b09-2f3d-4744-8b11-84da581add02,N - Administrative and support service activities,31.0,BIELEFELD,call youth travel
velocity region aachen gmbh,velocity aachen gmbh,100.0,velocity,velocity,416117421,07e4bacf-b9b1-4beb-acae-20b6aa5c79fb,N - Administrative and support service activities,2021.0,AACHEN,velocity aachen gmbh
walter althoff gmbh & co,althoff hotels,100.0,althoff,althoff,2495538,07ea6552-2150-4428-b176-4052cd5897a8,H - Transportation and storage,49.0,LUEDINGHAUSEN,althoff hotels
limbach verwaltungs se,limbach gruppe se,100.0,limbach,limbach,75867394,07ec9cd3-fb19-442c-926a-b39fde05bdf5,"M - Professional, scientific and technical activities",7805.0,HEIDELBERG,limbach group se
koch & partner steuerberater mbb,mller & partner steuerberater und rechtsanwlte,100.0,steurberater,steurberater,243533091,07f012f6-25ca-4f9e-a0d0-6aa72339a0f8,"M - Professional, scientific and technical activities",39.0,LEIPHEIM,mller &amp; partner tax consultants and lawyers
hwingenieure gmbh & co kg,hwingenieure gmbh,100.0,hwingenieure,hwingenieure,15890255,07fa621a-5077-4d03-be4b-f5cfb857786a,"M - Professional, scientific and technical activities",93.0,BERLIN,hwingenieure gmbh
freudenberg & co kommanditgesellschaft,freudenberg gruppe,100.0,freudenberg,freudenberg,50105868,0811c24d-39d3-441f-83c0-9e595d28f217,"M - Professional, scientific and technical activities",49353.0,WEINHEIM,Freudenberg Group
biotronik se & co kg,biotronik,100.0,biotronik,biotronik,2261252,0818a1a2-eb00-4622-b117-2a1585b40fa6,C - Manufacturing,2372.0,BERLIN,biotronics
blackberry deutschland gmbh,blackberry,100.0,blackberry,blackberry,136038889,08214d2a-4399-4f1a-9d1f-d08b50fe4ba3,C - Manufacturing,39.0,DUESSELDORF,blackberry
seitenbacher vertriebsgmbh,seitenbacher gmbh,100.0,seitenbacher,seitenbacher,47614686,082db100-54e1-445b-99e7-5a8088ab4adb,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,39.0,BUCHEN,swiss-group.com
arbeiterwohlfahrt bezirksverband niederrhein ev,awo bezirksverband brandenburg ost ev,100.0,bezirksverband,bezirksverband,49055662,0844297b-3f17-4b3d-a5f2-deb9a96ec68d,Q - Human health and social work activities,522.0,DUESSELDORF,awo district association brandenburg east ev
hpo hansen i lehmann i steffen i vach steuerberatungsgesellschaft in partnerschaft mbb,hpo hansen lehmann steffen vach steuerberatungsgesellschaft in partnerschaft mbb,100.0,hpo hansen steffen vach steurberatungsgesellschaft,hpo hansen steffen vach steurberatungsgesellschaft,192259596,084b53c6-d3a2-4443-bff9-e73f8843935c,"M - Professional, scientific and technical activities",47.0,FLENSBURG,hpo hansen lehmann steffen vach tax consultancy in partnership mbb
bbv systems gmbh,bbv,100.0,bbv,bbv,39189844,0885cf3b-8e63-4b43-85d4-b0d020872160,F - Construction,116.0,BOBENHEIM-ROXHEIM,bvb
delta m2 gmbh,m2 personal gmbh,100.0,m2,m2,164350030,088743a3-9b22-4f08-90f3-4234033e7300,N - Administrative and support service activities,89.0,MUENCHEN,m2 personal gmbh
alho holding gmbh,alho unternehmensgruppe,100.0,alho,alho,2550948,08877d8c-b8d8-47ab-894d-aa62e89cda62,"M - Professional, scientific and technical activities",836.0,MORSBACH,alho group of companies
rabe gmbh,rabe holding gmbh & cokg,100.0,rabe,rabe,2489166,08b3b8dc-8498-41a4-9f89-ccb3063b0e6a,F - Construction,69.0,OBERNKIRCHEN,rabe holding gmbh &amp; cokg
smurfit kappa deutschland gmbh,smurfit kappa group,100.0,smurfit kappa,smurfit kappa,9880907,08bb7be3-4f20-4048-96c0-266795b1d3a1,"M - Professional, scientific and technical activities",5230.0,HAMBURG,smurfit kappa group
adler vertriebs gmbh & co werbegeschenke kg,adler werbegeschenke,100.0,werbegeschenke,werbegeschenke,41222958,08e5de50-7d28-4334-9ae2-69a9be6d9904,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,345.0,SAARBRUECKEN,adler promotional gifts
service punkt ssd gmbh,der punkt gmbh,100.0,punkt,punkt,307431827,08fe375e-b361-4848-9df1-a2a3f258e96f,S - Other service activities,107.0,TROISDORF,the point gmbh
tief und rohrleitungsbau klumpp gesellschaft mit beschraenkter haftung,klumpp mller gmbh & co kg,100.0,klumpp,klumpp,2694621,0921df73-e82a-4fd2-a70e-9a18b5d02eac,F - Construction,60.0,OFFENBURG,klumpp mller gmbh &amp; co kg
roto frank holding ag,roto frank ag,100.0,roto,roto,48981112,092b8e0a-9bb6-4041-a374-9e651ee184ed,"M - Professional, scientific and technical activities",4833.0,LEINFELDEN-ECHTERDINGEN,roto frank ag
patrizia deutschland gmbh,patrizia immobilien ag,100.0,patrizia,patrizia,2752497,092f19b3-388b-4ded-8d5b-1c31c98b87b4,L - Real estate activities,154.0,AUGSBURG,patrizia real estate ag
dvs technology ag,dvs technology group,100.0,dvs,dvs,2606811,0939575f-54f9-4b60-a053-cf3fbfd24a51,C - Manufacturing,1297.0,DIETZENBACH,dvs technology group
